symbol,ts_event,best_level_ofi,multi_level_ofi,integrated_ofi,cross_asset_ofi
AAPL,2024-10-21T11:54:29.221064336Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:54:29.223769812Z,2.0,2.0,-0.0004343366407025249,0.0
AAPL,2024-10-21T11:54:29.225030400Z,3.0,3.0,-0.0006280064344462314,0.0
AAPL,2024-10-21T11:54:29.712434212Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:54:29.764673165Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:54:29.764685027Z,0.0,200.0,0.41240496276417293,0.0
AAPL,2024-10-21T11:54:36.289427977Z,0.0,200.0,-0.023696862476395877,0.0
AAPL,2024-10-21T11:54:37.990793976Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:54:39.124291588Z,199.0,-200.0,0.0049377872045881874,0.0
AAPL,2024-10-21T11:54:39.134140341Z,-199.0,200.0,-0.005031781311018442,0.0
AAPL,2024-10-21T11:54:41.233181043Z,-3.0,-3.0,0.0005340123280160071,0.0
AAPL,2024-10-21T11:54:41.234620509Z,1.0,1.0,-0.00024066684695881848,0.0
AAPL,2024-10-21T11:54:41.235907431Z,-1.0,-1.0,0.00014667274052859437,0.0
AAPL,2024-10-21T11:54:41.235977207Z,-2.0,-2.0,0.0003403425342723007,0.0
AAPL,2024-10-21T11:54:41.238618235Z,-137.0,-53.0,-0.8090259846133803,0.0
AAPL,2024-10-21T11:54:41.239827037Z,3.0,3.0,-0.0006280064344462314,0.0
AAPL,2024-10-21T11:54:50.970297264Z,0.0,-371.0,-0.2486277747083385,0.0
AAPL,2024-10-21T11:54:50.970336474Z,0.0,-29.0,-0.03555163932230408,0.0
AAPL,2024-10-21T11:54:53.247532557Z,-3.0,-3.0,0.0005340123280160071,0.0
AAPL,2024-10-21T11:54:53.248893986Z,137.0,53.0,0.8089319905069503,0.0
AAPL,2024-10-21T11:54:53.251320969Z,3.0,3.0,-0.0006280064344462314,0.0
AAPL,2024-10-21T11:54:53.252546517Z,2.0,2.0,-0.0004343366407025249,0.0
AAPL,2024-10-21T11:54:55.503497741Z,0.0,-27.0,-0.3717604780226118,0.0
AAPL,2024-10-21T11:54:55.503541005Z,0.0,26.0,0.3704421859069027,0.0
AAPL,2024-10-21T11:54:55.551806996Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:54:58.132928650Z,0.0,199.0,0.14251038578965614,0.0
AAPL,2024-10-21T11:54:58.133944065Z,0.0,-200.0,-0.11013226548025125,0.0
AAPL,2024-10-21T11:55:09.125042325Z,0.0,-399.0,-0.6028990674909972,0.0
AAPL,2024-10-21T11:55:09.125055670Z,0.0,399.0,0.602805073384567,0.0
AAPL,2024-10-21T11:55:09.160009889Z,0.0,29.0,0.03545764521587385,0.0
AAPL,2024-10-21T11:55:09.160051447Z,0.0,-27.0,0.028059389959342915,0.0
AAPL,2024-10-21T11:55:13.899151539Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:55:22.016715475Z,0.0,-26.0,-0.3705361800133328,0.0
AAPL,2024-10-21T11:55:22.060173668Z,0.0,26.0,0.3704421859069027,0.0
AAPL,2024-10-21T11:55:22.132778490Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:55:26.447978801Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:55:30.365285173Z,0.0,-399.0,-0.6028990674909972,0.0
AAPL,2024-10-21T11:55:30.365297270Z,0.0,399.0,0.602805073384567,0.0
AAPL,2024-10-21T11:55:30.377046532Z,0.0,-26.0,-0.3705361800133328,0.0
AAPL,2024-10-21T11:55:30.377110788Z,0.0,30.0,-0.03127631595605736,0.0
AAPL,2024-10-21T11:55:30.509413271Z,0.0,27.0,-0.028153384065773134,0.0
AAPL,2024-10-21T11:55:30.509458075Z,0.0,-26.0,0.12689295042158233,0.0
AAPL,2024-10-21T11:55:30.559949308Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:55:31.194923125Z,0.0,26.0,0.3998907648854271,0.0
AAPL,2024-10-21T11:55:31.195023714Z,0.0,-30.0,-0.03677593733158302,0.0
AAPL,2024-10-21T11:55:34.079261198Z,-139.0,-139.0,0.026873104277160078,0.0
AAPL,2024-10-21T11:55:35.302921978Z,-2.0,-2.0,0.0003403425342723007,0.0
AAPL,2024-10-21T11:55:35.303067914Z,397.0,-2.0,-0.614222433543321,0.0
AAPL,2024-10-21T11:55:35.304531207Z,-398.0,1.0,0.6143221092306344,0.0
AAPL,2024-10-21T11:55:35.305736838Z,398.0,-1.0,-0.6144161033370646,0.0
AAPL,2024-10-21T11:55:35.374212373Z,-373.0,-350.0,0.49752945094532025,0.0
AAPL,2024-10-21T11:55:35.374226300Z,0.0,150.0,-0.6325275461863136,0.0
AAPL,2024-10-21T11:55:38.243671650Z,-1.0,199.0,0.2778464405792494,0.0
AAPL,2024-10-21T11:55:38.243683612Z,-200.0,-200.0,0.03868696169552616,0.0
AAPL,2024-10-21T11:55:38.298336797Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:55:38.572413983Z,201.0,1.0,-0.3166743934344209,0.0
AAPL,2024-10-21T11:55:44.733510979Z,2.0,28.0,0.7890013361256357,0.0
AAPL,2024-10-21T11:55:44.791957886Z,0.0,-26.0,-0.7894826698195533,0.0
AAPL,2024-10-21T11:55:51.293948230Z,100.0,300.0,0.3784216585036665,0.0
AAPL,2024-10-21T11:55:51.294217665Z,-100.0,-300.0,-0.37851565261009656,0.0
AAPL,2024-10-21T11:55:51.365188500Z,0.0,-150.0,0.6324335520798835,0.0
AAPL,2024-10-21T11:55:51.401597368Z,0.0,150.0,-0.6325275461863136,0.0
AAPL,2024-10-21T11:55:53.213328704Z,0.0,374.0,-0.14189144797948108,0.0
AAPL,2024-10-21T11:55:53.213365167Z,0.0,-373.0,0.1375397752978038,0.0
AAPL,2024-10-21T11:55:54.691386316Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:55:54.691398035Z,-1.0,199.0,0.28591937155337194,0.0
AAPL,2024-10-21T11:55:54.691407713Z,0.0,-199.0,-0.2852692695239232,0.0
AAPL,2024-10-21T11:55:54.745856609Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:55:54.745868744Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:55:54.762492206Z,-19.0,21.0,0.7406942831666983,0.0
AAPL,2024-10-21T11:55:54.762530320Z,18.0,-22.0,-0.7405946074793845,0.0
AAPL,2024-10-21T11:55:55.306692496Z,0.0,-150.0,0.6324335520798835,0.0
AAPL,2024-10-21T11:55:55.306705027Z,0.0,350.0,-0.8407230055385952,0.0
AAPL,2024-10-21T11:55:55.361082355Z,-200.0,-1.0,0.3239092341662343,0.0
AAPL,2024-10-21T11:55:55.706105479Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:55:58.151580102Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:56:07.493655598Z,0.0,2.0,0.0009146098058982521,0.0
AAPL,2024-10-21T11:56:10.953492365Z,200.0,200.0,-0.0387809558019564,0.0
AAPL,2024-10-21T11:56:10.953504236Z,0.0,-200.0,-0.11013226548025125,0.0
AAPL,2024-10-21T11:56:11.008155483Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:56:11.008167451Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:56:11.038752302Z,-18.0,22.0,1.058781341152272,0.0
AAPL,2024-10-21T11:56:11.038803026Z,16.0,-24.0,-1.0584879956712152,0.0
AAPL,2024-10-21T11:56:14.982879375Z,0.0,200.0,0.11003827137382102,0.0
AAPL,2024-10-21T11:56:14.982891924Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:56:15.036962807Z,0.0,0.0,-0.31832772483253285,0.0
AAPL,2024-10-21T11:56:15.039085832Z,0.0,-574.0,-0.038374311398116825,0.0
AAPL,2024-10-21T11:56:15.039203352Z,0.0,572.0,0.04101363005232192,0.0
AAPL,2024-10-21T11:56:17.922879284Z,0.0,-572.0,-0.0411076241587522,0.0
AAPL,2024-10-21T11:56:17.922956219Z,0.0,570.0,0.043746942812957296,0.0
AAPL,2024-10-21T11:56:23.203362495Z,0.0,200.0,0.11003827137382102,0.0
AAPL,2024-10-21T11:56:23.203374367Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:56:23.230980890Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:56:23.259005865Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:56:23.260424017Z,-16.0,24.0,0.7401132737854671,0.0
AAPL,2024-10-21T11:56:23.260520532Z,17.0,-23.0,-0.7404009376856409,0.0
AAPL,2024-10-21T11:56:24.985297090Z,0.0,-150.0,0.6324335520798835,0.0
AAPL,2024-10-21T11:56:24.985309618Z,0.0,350.0,-0.8407230055385952,0.0
AAPL,2024-10-21T11:56:25.053201827Z,0.0,0.0,-0.31832772483253285,0.0
AAPL,2024-10-21T11:56:29.970611371Z,0.0,-1.0,-0.0005278004827717943,0.0
AAPL,2024-10-21T11:56:34.567796323Z,0.0,200.0,0.11003827137382102,0.0
AAPL,2024-10-21T11:56:34.567809267Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:56:34.623413180Z,0.0,0.0,-0.31832772483253285,0.0
AAPL,2024-10-21T11:56:42.272625996Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:56:43.878708550Z,101.0,-99.0,0.0003428725962381114,0.0
AAPL,2024-10-21T11:56:43.878991240Z,-101.0,99.0,-0.0004368667026683113,0.0
AAPL,2024-10-21T11:56:47.448697059Z,0.0,200.0,0.11003827137382102,0.0
AAPL,2024-10-21T11:56:47.557683879Z,0.0,-200.0,-0.11013226548025125,0.0
AAPL,2024-10-21T11:56:51.014654312Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:56:51.014666179Z,0.0,200.0,0.11003827137382102,0.0
AAPL,2024-10-21T11:56:51.014676787Z,0.0,-199.0,-0.10554104630670197,0.0
AAPL,2024-10-21T11:56:55.866035650Z,0.0,-1.0,0.3136425115525534,0.0
AAPL,2024-10-21T11:57:04.890399029Z,101.0,-99.0,-0.7709929163911473,0.0
AAPL,2024-10-21T11:57:04.890725062Z,-101.0,99.0,0.7708989222847171,0.0
AAPL,2024-10-21T11:57:06.458943234Z,-26.0,0.0,1.247479151558527,0.0
AAPL,2024-10-21T11:57:06.459285665Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:07.554141976Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:08.621131954Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:10.160087903Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:14.110885099Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:14.837669309Z,0.0,-26.0,-1.2425377310276209,0.0
AAPL,2024-10-21T11:57:14.894521785Z,0.0,28.0,1.243544589605461,0.0
AAPL,2024-10-21T11:57:15.098765695Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:57:15.098777532Z,0.0,-200.0,-0.2449065989090011,0.0
AAPL,2024-10-21T11:57:15.158138746Z,0.0,-200.0,-0.2449065989090011,0.0
AAPL,2024-10-21T11:57:15.158151037Z,0.0,200.0,0.24481260480257086,0.0
AAPL,2024-10-21T11:57:15.238560230Z,0.0,1.0,0.13931855554908407,0.0
AAPL,2024-10-21T11:57:15.426680348Z,0.0,-1.0,0.3136425115525534,0.0
AAPL,2024-10-21T11:57:15.993250474Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:17.249143876Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:57:17.249155657Z,0.0,-200.0,-0.2449065989090011,0.0
AAPL,2024-10-21T11:57:17.304858834Z,0.0,0.0,0.45300806415485256,0.0
AAPL,2024-10-21T11:57:17.495155713Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:20.112111433Z,181.0,-19.0,-0.7864864998906438,0.0
AAPL,2024-10-21T11:57:22.737207625Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:23.434433631Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:23.522180556Z,0.0,-28.0,-1.2436385837118913,0.0
AAPL,2024-10-21T11:57:23.522320812Z,0.0,26.0,0.3704421859069027,0.0
AAPL,2024-10-21T11:57:23.575986228Z,0.0,0.0,0.45300806415485256,0.0
AAPL,2024-10-21T11:57:23.893151634Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:23.893200066Z,-3.0,377.0,0.062146076646236656,0.0
AAPL,2024-10-21T11:57:23.964289822Z,0.0,-350.0,0.24703545412373726,0.0
AAPL,2024-10-21T11:57:23.964302478Z,0.0,150.0,-0.35721471665720356,0.0
AAPL,2024-10-21T11:57:23.993763323Z,3.0,-377.0,-0.062240070752666916,0.0
AAPL,2024-10-21T11:57:25.745564633Z,0.0,-150.0,0.35712072255077354,0.0
AAPL,2024-10-21T11:57:25.813792371Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:57:25.852973172Z,0.0,-200.0,-0.2449065989090011,0.0
AAPL,2024-10-21T11:57:25.862973670Z,0.0,350.0,-0.24712944823016755,0.0
AAPL,2024-10-21T11:57:25.868673528Z,190.0,-200.0,-0.2515105312972397,0.0
AAPL,2024-10-21T11:57:26.000349886Z,200.0,200.0,-0.0387809558019564,0.0
AAPL,2024-10-21T11:57:28.039292565Z,-200.0,-200.0,0.03868696169552616,0.0
AAPL,2024-10-21T11:57:28.039302990Z,-190.0,-150.0,0.4984989883677621,0.0
AAPL,2024-10-21T11:57:28.039347712Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:28.153707091Z,0.0,350.0,-0.24712944823016755,0.0
AAPL,2024-10-21T11:57:28.163711748Z,190.0,-200.0,-0.2515105312972397,0.0
AAPL,2024-10-21T11:57:28.163725884Z,0.0,0.0,0.45300806415485256,0.0
AAPL,2024-10-21T11:57:29.331953680Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:57:29.331966683Z,0.0,-200.0,-0.2449065989090011,0.0
AAPL,2024-10-21T11:57:30.995192991Z,200.0,200.0,-0.0387809558019564,0.0
AAPL,2024-10-21T11:57:31.496234971Z,0.0,-100.0,0.7686063621675098,0.0
AAPL,2024-10-21T11:57:36.264542456Z,-480.0,-380.0,-0.675738855276961,0.0
AAPL,2024-10-21T11:57:36.267934826Z,-200.0,-200.0,0.03868696169552616,0.0
AAPL,2024-10-21T11:57:37.887981490Z,-199.0,0.0,0.5312600939125284,0.0
AAPL,2024-10-21T11:57:38.016963535Z,0.0,200.0,0.11003827137382102,0.0
AAPL,2024-10-21T11:57:40.885440558Z,0.0,-26.0,-0.3705361800133328,0.0
AAPL,2024-10-21T11:57:40.885481569Z,0.0,25.0,0.3692178878976238,0.0
AAPL,2024-10-21T11:57:41.319151873Z,0.0,200.0,0.24481260480257086,0.0
AAPL,2024-10-21T11:57:41.319163898Z,0.0,200.0,0.10856684396992997,0.0
AAPL,2024-10-21T11:57:41.375697228Z,0.0,-200.0,-0.11013226548025125,0.0
AAPL,2024-10-21T11:57:41.375709324Z,0.0,200.0,0.11003827137382102,0.0
AAPL,2024-10-21T11:57:41.965660865Z,0.0,-399.0,-0.6006337921849569,0.0
AAPL,2024-10-21T11:57:42.074173420Z,0.0,199.0,0.18808783826113865,0.0
AAPL,2024-10-21T11:57:42.169221771Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:42.207878969Z,0.0,-199.0,-0.1881818323675689,0.0
AAPL,2024-10-21T11:57:42.313260974Z,0.0,199.0,0.18808783826113865,0.0
AAPL,2024-10-21T11:57:42.380159117Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:57:42.412324426Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:57:42.412336614Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:48.072962640Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:57:48.072974095Z,0.0,-200.0,-0.10866083807636018,0.0
AAPL,2024-10-21T11:57:48.072984615Z,0.0,-200.0,0.2732842790103223,0.0
AAPL,2024-10-21T11:57:48.076659157Z,0.0,29.0,-0.11563838132512945,0.0
AAPL,2024-10-21T11:57:48.076742621Z,0.0,-27.0,0.11859311884792245,0.0
AAPL,2024-10-21T11:57:48.136477014Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:57:48.136488492Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:48.194611663Z,0.0,-25.0,-0.3693118820040539,0.0
AAPL,2024-10-21T11:57:48.194659897Z,0.0,28.0,0.37289078192546055,0.0
AAPL,2024-10-21T11:57:51.070607242Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:51.271195500Z,0.0,400.0,-0.1691717221768891,0.0
AAPL,2024-10-21T11:57:51.287108312Z,0.0,-372.0,0.1394844160063515,0.0
AAPL,2024-10-21T11:57:51.287157718Z,0.0,371.0,-0.13889913088575256,0.0
AAPL,2024-10-21T11:57:51.322699915Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:57:52.317929239Z,0.0,-200.0,-0.10645719303471934,0.0
AAPL,2024-10-21T11:57:52.317942384Z,0.0,-200.0,0.2732842790103223,0.0
AAPL,2024-10-21T11:57:58.266584280Z,0.0,400.0,-0.16696807713524828,0.0
AAPL,2024-10-21T11:58:06.284720780Z,0.0,-199.0,-0.19497765828568991,0.0
AAPL,2024-10-21T11:58:06.284733562Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:58:06.339571308Z,0.0,-400.0,-0.35131679489050527,0.0
AAPL,2024-10-21T11:58:06.359829740Z,0.0,200.0,-0.20824245640549677,0.0
AAPL,2024-10-21T11:58:06.360206541Z,0.0,371.0,-0.13889913088575256,0.0
AAPL,2024-10-21T11:58:06.360243785Z,0.0,-371.0,0.13880513677932227,0.0
AAPL,2024-10-21T11:58:06.414660818Z,0.0,-200.0,0.20814846229906653,0.0
AAPL,2024-10-21T11:58:06.414672832Z,0.0,-1.0,0.40307912353154135,0.0
AAPL,2024-10-21T11:58:14.036350634Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:14.036377136Z,0.0,200.0,0.24481260480257086,0.0
AAPL,2024-10-21T11:58:14.144708873Z,0.0,-200.0,-0.2449065989090011,0.0
AAPL,2024-10-21T11:58:18.578706483Z,0.0,200.0,0.24481260480257086,0.0
AAPL,2024-10-21T11:58:18.578717695Z,0.0,200.0,0.10636319892828913,0.0
AAPL,2024-10-21T11:58:18.649580622Z,0.0,-200.0,-0.10645719303471934,0.0
AAPL,2024-10-21T11:58:18.666193529Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:18.721960191Z,0.0,0.0,-0.7044388481066631,0.0
AAPL,2024-10-21T11:58:18.722551669Z,0.0,127.0,0.21170515687370434,0.0
AAPL,2024-10-21T11:58:18.722579315Z,0.0,-125.0,-0.213157709434193,0.0
AAPL,2024-10-21T11:58:18.733836431Z,0.0,0.0,0.7087521440835147,0.0
AAPL,2024-10-21T11:58:18.771745684Z,0.0,200.0,-0.40397297526762105,0.0
AAPL,2024-10-21T11:58:19.574896952Z,0.0,-200.0,0.4038789811611909,0.0
AAPL,2024-10-21T11:58:19.574907103Z,0.0,200.0,-0.40397297526762105,0.0
AAPL,2024-10-21T11:58:19.604471701Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:19.632503658Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:21.722356897Z,0.0,-200.0,-0.3049201599755389,0.0
AAPL,2024-10-21T11:58:21.794663862Z,0.0,0.0,0.30231969433713685,0.0
AAPL,2024-10-21T11:58:32.993346096Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:37.947553299Z,0.0,200.0,0.30482616586910877,0.0
AAPL,2024-10-21T11:58:37.947562931Z,0.0,-200.0,0.4038789811611909,0.0
AAPL,2024-10-21T11:58:37.947573917Z,0.0,0.0,-0.7088461381899449,0.0
AAPL,2024-10-21T11:58:40.491423845Z,0.0,-28.0,-0.37298477603189073,0.0
AAPL,2024-10-21T11:58:40.491466764Z,0.0,25.0,0.3692178878976238,0.0
AAPL,2024-10-21T11:58:50.556727313Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:53.131341094Z,0.0,200.0,0.11003827137382102,0.0
AAPL,2024-10-21T11:58:53.954307531Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:53.954317948Z,99.0,45.0,-0.9255089823723567,0.0
AAPL,2024-10-21T11:58:53.954477659Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:53.954501480Z,0.0,0.0,1.154198180107387,0.0
AAPL,2024-10-21T11:58:53.954502815Z,0.0,-10.0,-1.297580835061864,0.0
AAPL,2024-10-21T11:58:53.954507571Z,0.0,100.0,0.054995637160302945,0.0
AAPL,2024-10-21T11:58:53.954515456Z,0.0,100.0,0.054995637160302945,0.0
AAPL,2024-10-21T11:58:53.954518683Z,0.0,100.0,0.054995637160302945,0.0
AAPL,2024-10-21T11:58:53.954521070Z,40.0,40.0,-0.007793788802963367,0.0
AAPL,2024-10-21T11:58:53.954534910Z,0.0,399.0,-0.6299743086274614,0.0
AAPL,2024-10-21T11:58:53.954535707Z,0.0,30.0,1.4324578640398846,0.0
AAPL,2024-10-21T11:58:53.954546864Z,0.0,-100.0,-0.05508963126673319,0.0
AAPL,2024-10-21T11:58:53.954549208Z,-100.0,-100.0,0.01931998232115553,0.0
AAPL,2024-10-21T11:58:53.954555754Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:53.954564591Z,0.0,-100.0,-0.05508963126673319,0.0
AAPL,2024-10-21T11:58:53.954570870Z,0.0,-100.0,-0.05508963126673319,0.0
AAPL,2024-10-21T11:58:53.954666995Z,0.0,-90.0,-1.3700932203406302,0.0
AAPL,2024-10-21T11:58:53.954950395Z,0.0,10.0,1.2020026226216387,0.0
AAPL,2024-10-21T11:58:54.013566047Z,0.0,-199.0,0.3565490384574939,0.0
AAPL,2024-10-21T11:58:54.013589130Z,0.0,199.0,-0.35664303256392405,0.0
AAPL,2024-10-21T11:58:54.021444014Z,0.0,-199.0,0.3565490384574939,0.0
AAPL,2024-10-21T11:58:54.043347922Z,0.0,-200.0,0.2732842790103223,0.0
AAPL,2024-10-21T11:58:54.063766628Z,0.0,60.0,-1.1212665936857065,0.0
AAPL,2024-10-21T11:58:54.213766156Z,-39.0,15.0,0.9137948006413044,0.0
AAPL,2024-10-21T11:58:58.704657287Z,0.0,-29.0,-0.2973900532910261,0.0
AAPL,2024-10-21T11:58:58.704745556Z,0.0,29.0,0.2610516542879504,0.0
AAPL,2024-10-21T11:58:58.758409305Z,0.0,-200.0,-0.11013226548025125,0.0
AAPL,2024-10-21T11:58:58.758422757Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:58.912375357Z,99.0,45.0,-0.5295285794628477,0.0
AAPL,2024-10-21T11:58:58.912551174Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:58:58.912577219Z,0.0,90.0,-0.02935415654378061,0.0
AAPL,2024-10-21T11:58:58.912588388Z,0.0,200.0,0.11003827137382102,0.0
AAPL,2024-10-21T11:58:58.912594900Z,0.0,28.0,0.2264276191953529,0.0
AAPL,2024-10-21T11:58:58.912609151Z,0.0,-72.0,-0.6645167332554318,0.0
AAPL,2024-10-21T11:58:58.912613899Z,0.0,-100.0,0.1040507326229257,0.0
AAPL,2024-10-21T11:58:58.912617614Z,0.0,200.0,0.24481260480257086,0.0
AAPL,2024-10-21T11:58:58.912620981Z,-62.0,10.0,1.0933780197520175,0.0
AAPL,2024-10-21T11:58:58.912628049Z,0.0,-400.0,0.17322267048340625,0.0
